T,"HSN(AL,AL)@FCC_A1"
870,78780.6110517961
869,77032.3596410153
868,75339.0497635593
867,73698.2010568359
866,72107.4798611726
865,70564.6885236652
864,69067.7556238847
863,67614.7270299126
862,66203.7577036337
861,64833.1041830203
860,63501.1176769648
859,62206.2377152413
858,60946.9863022053
857,59721.9625281117
856,58529.8375969014
855,57369.3502332094
854,56239.3024353868
853,55138.5555444186
852,54066.0266016340
851,53020.6849707250
850,52001.5492020428
849,51007.6841189316
848,50038.1981081784
847,49092.2405978895
846,48168.9997079165
845,47267.7000591886
844,46387.6007295101
843,45527.9933445898
842,44688.2002938440
841,43867.5730616678
840,43065.4906655277
839,42281.3581929027
838,41514.6054299243
837,40764.6855750966
836,40031.0740319078
835,39313.2672748600
834,38610.7817837059
833,37923.1530411965
832,37249.9345899673
831,36590.6971445465
830,35945.0277548118
829,35312.5290174699
828,34692.8183323492
827,34085.5272007012
826,33490.3005626991
825,32906.7961717098
824,32334.6840030157
823,31773.6456948190
822,31223.3740195619
821,30683.5723837438
820,30153.9543544823
819,29634.2432112461
818,29124.1715213160
817,28623.4807375562
816,28131.9208172554
815,27649.2498608202
814,27175.2337692659
813,26709.6459194092
812,26252.2668558663
811,25802.8839989270
810,25361.2913674730
809,24927.2893161885
808,24500.6842863008
807,24081.2885692188
806,23668.9200823809
805,23263.4021567831
804,22864.5633355893
803,22472.2371833268
802,22086.2621052008
801,21706.4811760477
800,21332.7419785350
799,20964.8964502213
798,20602.8007390837
797,20246.3150672240
796,19895.3036023900
795,19549.6343370804
794,19209.1789749370
793,18873.8128241772
