T,"HSN(AL,AL)@LIQUID"
870,33320.2573061650
869,32595.0762314869
868,31893.1412949508
867,31213.4338877192
866,30554.9964194696
865,29916.9278909665
864,29298.3798486336
863,28698.5526831950
862,28116.6922387744
861,27552.0867024907
860,27004.0637478397
859,26471.9879080452
858,25955.2581580704
857,25453.3056861623
856,24965.5918378518
855,24491.6062169639
854,24030.8649298454
853,23582.9089603089
852,23147.3026640409
851,22723.6323722969
850,22311.5050957213
849,21910.5473198884
848,21520.4038850875
847,21140.7369434173
846,20771.2249869815
845,20411.5619414945
844,20061.4563201083
843,19720.6304327534
842,19388.8196466310
841,19065.7716939477
840,18751.2460232594
839,18445.0131910888
838,18146.8542907906
837,17856.5604158770
836,17573.9321551943
835,17298.7791176245
834,17030.9194841059
833,16770.1795849758
832,16516.3935007690
831,16269.4026847693
830,16029.0556057302
829,15795.2074093060
828,15567.7195968275
827,15346.4597202024
826,15131.3010917543
825,14922.1225079576
824,14718.8079860735
823,14521.2465127781
822,14329.3318039452
821,14142.9620748203
820,13962.0398198676
819,13786.4716016454
818,13616.1678481230
817,13451.0426578931
816,13291.0136127942
815,13136.0015975030
814,12985.9306257064
813,12840.7276724960
812,12700.3225126846
811,12564.6475647729
810,12433.6377403365
809,12307.2302986433
808,12185.3647063361
807,12067.9825020601
806,11955.0271659309
805,11846.4439937796
804,11742.1799761285
803,11642.1836818753
802,11546.4051466906
801,11454.7957661405
800,11367.3081935718
799,11283.8962428041
798,11204.5147956809
797,11129.1197145459
796,11057.6677597018
795,10990.1165119254
794,10926.4243000935
793,10866.5501339809
